text|label|lang|font
A solução de TV híbrida da Teleste inclui componentes para todo o processo de entrega de serviços de vídeo aos consumidores, desde a aquisição de conteúdo e criação de serviço até a entrega por meio de uma variedade de soluções de acesso, incluindo HFC (fibra híbrida-coaxial), xDSL, EttH e FttH.|1|ptbr|financial-phrase-bank
The group 's operating loss was EUR 0.8 mn , down from a profit of EUR 2.5 mn in 2004 .|0|eng|financial-phrase-bank
De acordo com o contrato, a próxima faixa da Benefon de dispositivos de navegação GPS e telefones móveis integrados da TWIG usará o rastreamento baseado na web desenvolvido em conjunto e a tecnologia de localização, em aplicações comerciais e de consumo.|1|ptbr|financial-phrase-bank
Ibovespa fecha em leve queda em dia de cautela antes de feriado e payroll|1|ptbr|b3
A Kazgiprotsvetmet e a Outotec Finland assinaram um acordo sobre cooperação estratégica na comercialização e fornecimento de processamento de minerais e plantas metalúrgicas e serviços relacionados no Cazaquistão e países vizinhos.|2|ptbr|financial-phrase-bank
Mercado eleva para 5,39% estimativa de inflação para 2023, aponta Focus|0|ptbr|b3
Juro Brasil “ chocante ” equivale “ pena morte ” , diz Nobel Economia . Joseph Stiglitz fez avaliação seminário “ Estratégias Desenvolvimento Sustentável Século XXI ” , promovido BNDES . Joseph Stiglitz , vencedor prêmio Nobel Economia 2001 professor Universidade Columbia ( EUA ) , definiu taxa básica juros Brasil “ chocante ” equivalente “ pena morte ” , País sobrevivido função atuação bancos públicos . Stiglitz fez avaliação seminário “ Estratégias Desenvolvimento Sustentável Século XXI ” , promovido Banco Nacional Desenvolvimento Econômico Social ( BNDES ) parceria Centro Brasileiro Relações Internacionais ( Cebri ) Federação Indústrias Estado Paulo ( Fiesp ) . Crítico política monetária usa juros conter inflação observar efeitos nocivos sobre investimento , Stiglitz fez duras críticas condução Banco Central brasileiro últimos anos , mencionar diretamente autoridade monetária . “ Banco Central independente mandato inflação melhor arranjo bem país todo ” , chegou dizer . “ taxa juros ( Brasil ) fato chocante . taxa 13 , 7 % , 8 % real , tipo taxa juros vai matar qualquer economia . impressionante Brasil sobrevivido , pena morte . parte razão disso têm bancos estatais , BNDES , feito taxas juros , oferecendo fundos empresas produtivas investimentos longo prazo juros menores ” , avaliou Stiglitz . economista afirmou , Brasil política monetária razoável , tido crescimento bem maior registrado últimas décadas . porque juros altos economia desencorajado investimentos , inclusive ora necessários promover transição verde economia capaz levar Brasil posição exportador commodities economia industrial relevante cenário internacional . “ necessidade adaptar transição verde reduzir desigualdade torna ainda urgente buscar modelos econômicos alternativos . questões Brasil urgentes outros países redor mundo . Brasil sempre descrito país futuro , futuro continua sempre deixado futuro ” , afirmou Stiglitz . Masterclass GratuitaLucros Além BolsaComo ter potencial ganhar Renda Fixa depender ânimos mercado oscilações BolsaEle apontou piora cenário últimos quatro anos , País “ presidente indutor crescimento econonômico ” , referência governo Jair Bolsonaro ( PL ) . Segundo , taxas crescimento seguiram deprimidas enquanto desemprego informalidade mantiveram níveis altos , 13 % 40 % respectivamente , queda renda famílias . Leia tambémDurante seminárioMercadante : deve aceitar tese País reindustrializarEle defendeu envolvimento BNDES discussões sobre retomada crescimento reavaliação relação mercado EstadoPolíticaLula diz “ saúde pode refém teto gastos ” defende investimentos públicosNo relançamento programa Médicos , presidente pediu reflexão sobre “ gasto investimento ” Inflação mundoEm dado momento palestra , Stiglitz passou comentar cenário econômico todo mundo disse discussão dominante debate público brasileiro , sobre juros , acontece EUA , despeito juros bem baixos . Stiglitz reprodução erro perseguir meta inflação alta juros . reiterou , porém , inflação americana mundial advém pressão demanda , diretamente ligada pandemia , agora , guerra . taxas juros crescentes diferentes países mundo pioram problema , porque impedem investimentos , exemplo , habitação . “ fonte inflação importante indústria óleo gás alimentos . Outra fonte sido habitação . taxas juros recentes resolvem nenhum desses problemas . ( taxas altas ) vai trazer petróleo gás ? resposta claramente possível ” , disse economista americano . Segundo Stiglitz , efeito direto dessa recente escalada juros EUA mundo criação barreiras investimento , inclusive áreas críticas , habitação , além “ redistribuição dinheiro pobres ricos ” . “ altas taxas juros exacerbam problemas desigualdade , Brasil ” , afirmou . paralelo , disse Stiglitz , política monetária aumenta problema fiscal , devido aumento juros sobre dívida pública , problema ainda maior países maior taxa endividamento .|0|ptbr|infomoney
Incap Contract Manufacturing Services Pvt Ltd, uma subsidiária da Incap Corporation of Finland, está adquirindo a unidade de manufatura da TVS Electronic Ltd em Tumkur, perto de Bangalore, por Rs40 crore.|1|ptbr|financial-phrase-bank
Work on the assignment has already started and is due for completion in spring 2011 .|1|eng|financial-phrase-bank
Arcabouço fiscal prevê zerar déficit 2024 deverá trazer mecanismos controle despesas . Martelo batido reunião Lula Palácio Alvorada ; proposta apresentada Haddad Tebet amanhã . novo arcabouço fiscal , deverá apresentado publicamente ministro Fazenda , Fernando Haddad ( PT ) , manhã quinta-feira ( 30 ) , traz previsão zerar déficit público União 2024 , atingir superávit 0 , 5 % Produto Interno Bruto ( PIB ) 2025 1 % PIB 2026 − ano trajetória dívida pública estabilizada . martelo sobre texto batido nesta quarta-feira ( 29 ) , reunião presidente Luiz Inácio Lula Silva ( PT ) , Palácio Alvorada . Participaram encontro presidente nacional PT , deputada Gleisi Hoffmann ( PR ) ; integrantes Ministério Fazenda Gabriel Galípolo ( secretário-executivo ) , Rogério Ceron ( secretário Tesouro Nacional ) Guilherme Mello ( secretário Política Econômica ) líderes governo Senado Federal , Jaques Wagner ( PT-BA ) , Câmara Deputados , José Guimarães ( PT-CE ) . secretária-executiva Casa Civil , Miriam Belchior , participou forma remota . sequência , Haddad residência oficial presidência Câmara Deputados apresentar proposta Arthur Lira ( PP-AL ) líderes bancadas casa legislativa . coletiva imprensa convocada Ministério Fazenda quinta-feira ( 30 ) , 10h30 ( horário Brasília ) , anunciar detalhes proposta . Participarão evento Haddad ministra Planejamento Orçamento , Simone Tebet ( MDB ) . Conforme adiantou ministro Secretaria Relações Institucionais , Alexandre Padilha ( PT ) , além meta resultado primário , proposta prevê mecanismos controle despesas , ainda revelados . disse novo marco fiscal instrumentos anticíclicos ( , permitiriam alguma expansão momentos crise ) , dar detalhes . bastidores , circula informação haverá dispositivo fará despesas cresçam mesma proporção receitas . jornal Folha S. Paulo noticiou gastos poderão superar marca 70 % apontarem projeções arrecadação corrente ano . prática , regra traria trava despesas , porém branda hoje estabelece teto gastos − regra fortemente atacada Lula aliados , limita crescimento gastos ano comportamento inflação exercício anterior . Durante semana , ministra Simone Tebet havia sinalizado novo arcabouço fiscal exceções . disse texto deve prever possibilidade “ pouco gasto ” Saúde Educação , “ gastos estarem acima incremento receita ” . Emenda Constituição Transição , abriu espaço Orçamento execução novo Bolsa Família outras promessas campanha novo governo , estabelece Poder Executivo encaminhe parlamento nova regra 31 agosto . Haddad antecipou calendário março , aceno agentes econômicos LDO possa incorporar aspectos regra deverá substituir teto gastos . instrumento sido tratado equipe econômica fundamental viabilizar redução juros BC . Havia expectativa mercado texto pudesse apresentado semana passada , Lula pediu novas simulações Haddad defendeu divulgação nova regra feita apenas após viagem oficial China − inicialmente prevista domingo , cancelada razão diagnóstico pneumonia presidente . Lula argumentou importante chefe Ministério Fazenda país dias subsequentes anúncio defender medida dialogar parlamentares agentes econômicos . cancelamento compromisso internacional , abriu-se janela martelo batido detalhes propostas apresentados equipe econômica nesta semana .|1|ptbr|infomoney
