text|raw_text|lang|font|sentiment|impact_intensity|impact_term
JPMorgan Chase Take First Republic Bank 's Assets ; Consensus 2023 Highlights|JPMorgan Chase to Take Over Most of First Republic Bank's Assets; Consensus 2023 Highlights|eng|CoinDesk|neutro|alto|longo
Fed : rate cuts seen year – UOB|Fed: No rate cuts seen this year – UOB|eng|FXStreet|negativo|alto|curto
Eli Lilly Alzheimer ’ treatment donanemab slowed disease progression clinical trial|Eli Lilly Alzheimer’s treatment donanemab slowed disease progression in clinical trial|eng|CNBC|positivo|alto|curto
$ 1 trillion platinum coin could save US economic catastrophe less month . would fast , legal , bigger regular coin .|A $1 trillion platinum coin could save the US from economic catastrophe in less than a month. It would be fast, legal, and no bigger than a regular coin.|eng|Yahoo News|neutro|alto|curto
Debt ceiling solution : $ 1 trillion platinum coin could stop crisis|Debt ceiling solution: $1 trillion platinum coin could stop crisis|eng|Business Insider|neutro|alto|curto
Stellantis Q1 : Sales jump 14 % higher prices|Stellantis Q1: Sales jump 14% on higher prices|eng|Automotive News|positivo|alto|curto
's expect today 's Federal Reserve announcement|Here's what to expect from today's Federal Reserve announcement|eng|CNBC|neutro|alto|curto
Ford 's profit rises truck demand EV outlook sends shares lower|Ford's profit rises on truck demand but EV outlook sends shares lower|eng|Fox Business|negativo|alto|curto
Whale Moves $ 504,000,000 Ethereum One Massive Transfer – ’ Crypto|Whale Moves Over $504,000,000 in Ethereum in One Massive Transfer – Here’s Where the Crypto Is Now|eng|The Daily Hodl|neutro|alto|curto
Morning Bid : Bank reverb frames Fed decision|Morning Bid: Bank reverb frames Fed decision|eng|Reuters|neutro|alto|curto
Microsoft Economist Warns Bad Actors Use AI Cause Damage|Microsoft Economist Warns Bad Actors Will Use AI to Cause Damage|eng|msnNOW|negativo|alto|longo
Brent Oil Slips $ 75 Demand , Slowdown Concerns|Brent Oil Slips Below $75 on Demand, Slowdown Concerns|eng|Bloomberg Television|negativo|alto|curto
Job openings near two-year low layoffs jump World Business Watch WION|Job openings near two-year low as layoffs jump  World Business Watch  WION|eng|WION|negativo|alto|curto
Ethereum Price Prediction $ 8 Billion Trading Volume Comes – Whales Accumulating ?|Ethereum Price Prediction as $8 Billion Trading Volume Comes In – Are Whales Accumulating?|eng|Cryptonews|neutro|alto|curto
Uber zooms past Q1 earnings estimates World Business Watch WION|Uber zooms past Q1 earnings estimates  World Business Watch  WION|eng|WION|positivo|alto|curto
Signs stress start build markets debt ceiling deadline looms|Signs of stress start to build in markets as debt ceiling deadline looms|eng|Washington Examiner|negativo|alto|curto
Top banking CEO warns volatility predicts U.S. rescues|Top banking CEO warns of further volatility and predicts more U.S. rescues|eng|CNBC|negativo|alto|curto
Fear & Greed Index Moves ‘ Neutral ’ Zone Ahead Fed Rate Decision - Ford Motor ( NYSE : F ) , Kraft Heinz|Fear & Greed Index Moves To ‘Neutral’ Zone Ahead Of Fed Rate Decision - Ford Motor (NYSE:F), Kraft Heinz|eng|Benzinga|neutro|alto|curto
